City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,dzuunmod,48.2199,97.3744,45.48,52,100,7.47,MN,1727951379
352,guane,22.2025,-84.0875,74.53,93,23,4.41,CU,1727951381
353,nova sintra,14.8667,-24.7167,80.22,80,100,14.05,CV,1727951382
354,howard springs,-12.497,131.047,85.91,70,93,3.71,AU,1727951383
355,qamdo,31.1667,97.2333,59.65,40,70,9.51,CN,1727951385
356,qui nhon,13.7667,109.2333,78.39,91,100,13.24,VN,1727951386
357,zhangye,38.9342,100.4517,65.37,9,34,11.21,CN,1727951387
358,micheweni,-4.9667,39.8333,83.16,62,100,8.7,TZ,1727951389
359,rabo de peixe,37.8,-25.5833,74.71,94,75,13.8,PT,1727951390
360,galliano,29.4422,-90.2992,75.2,83,0,3.44,US,1727951392
361,sibu,2.3,111.8167,84.51,79,40,6.91,MY,1727951393
362,broken hill,-31.95,141.4333,76.51,31,84,10.65,AU,1727951394
363,shendi,16.6915,33.4341,104.58,15,10,12.64,SD,1727951396
364,la mira,18.035,-102.3266,75.42,94,100,3.67,MX,1727951397
